Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5
Belgium,BEL,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,12793.0,,10806.0,8229.0,11957.0,7471.0,18761.0,19219.0,20886.0,18261.0,18963.0,20825.0,,,21552.0,22064.0,6160.0,5357.0,4336.0,3960.0,,,3935.0,7034.0,,,,2534.0,2483.0,2989.0,3593.0,4080.0,4544.0,4751.0,7804.0,7002.0,6728.0,6873.0,7138.0,7606.0,5621.0,5528.0,5578.0,5029.0,6030.0,4898.0,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Belgium,
Benin,BEN,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,124593.0,124356.0,138887.0,,152618.0,156999.0,215390.0,,173691.0,157292.0,162339.0,155093.0,150853.0,138819.0,,,,,,,,,59997.0,,42124.0,1555.0,,,,,,,,,28139.0,71264.0,81045.0,50664.0,26653.0,,Sub-Saharan Africa,Lower middle income,,Benin,
Burkina Faso,BFA,"Children out of school, primary, male",SE.PRM.UNER.MA,,367975.0,375900.0,,,,,412767.0,419598.0,426792.0,433159.0,438303.0,440829.0,447681.0,452815.0,454809.0,459917.0,465996.0,482594.0,501292.0,,533840.0,548354.0,558722.0,565070.0,566417.0,,,581312.0,589111.0,588862.0,591309.0,619145.0,608304.0,603151.0,564095.0,539699.0,493572.0,439667.0,421585.0,513205.0,472794.0,482233.0,493176.0,496505.0,496599.0,428962.0,432730.0,412360.0,455458.0,527757.0,556526.0,635559.0,845611.0,Sub-Saharan Africa,Low income,,Burkina Faso,
Bangladesh,BGD,"Children out of school, primary, male",SE.PRM.UNER.MA,1728526.0,,,514284.0,,,89222.0,732722.0,869758.0,,,1616301.0,,1635756.0,2006002.0,2136775.0,2248048.0,2360441.0,1910651.0,2003300.0,1926679.0,,,,,,,,,,,,,,,455454.0,514802.0,,791808.0,999806.0,829516.0,,,,,,,,,,,,,,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Bangladesh,
Bulgaria,BGR,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,9336.0,7785.0,,,1188.0,1762.0,,,,,,,,1580.0,1240.0,2210.0,3380.0,5193.0,5150.0,4725.0,5146.0,5489.0,5984.0,5762.0,5612.0,6442.0,6688.0,,Europe & Central Asia,High income,,Bulgaria,
Bahrain,BHR,"Children out of school, primary, male",SE.PRM.UNER.MA,,5066.0,5560.0,5947.0,5323.0,4118.0,3980.0,3181.0,3392.0,3565.0,4063.0,5453.0,6472.0,6441.0,6017.0,5108.0,3420.0,3607.0,2435.0,2408.0,,4017.0,6574.0,6976.0,7360.0,6876.0,6554.0,6684.0,5830.0,5321.0,6608.0,6396.0,6366.0,6925.0,6207.0,5612.0,3114.0,,,,,3472.0,1519.0,,,,,,1219.0,1668.0,,,5319.0,4664.0,Middle East & North Africa,High income,,Bahrain,
"Bahamas, The",BHS,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,1021.0,659.0,,,,,,,,,,,,,,,1642.0,1609.0,,,,,,4251.0,,,,,3765.0,3026.0,3398.0,2976.0,3061.0,4102.0,4362.0,2715.0,3707.0,,,,,,,,,,,4457.0,Latin America & Caribbean,High income,,"Bahamas, The",
Bosnia and Herzegovina,BIH,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11570.0,11171.0,10271.0,11088.0,10780.0,10446.0,10108.0,8520.0,7545.0,8488.0,,11185.0,12117.0,12179.0,12786.0,Europe & Central Asia,Upper middle income,,Bosnia and Herzegovina,
Belarus,BLR,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,42177.0,,,,,,,,,,,,,,,,,4454.0,8273.0,7643.0,8065.0,6305.0,5978.0,7974.0,9677.0,10544.0,11182.0,8671.0,6395.0,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Belarus,
Belize,BLZ,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,418.0,605.0,,,,,,452.0,327.0,448.0,491.0,308.0,,31.0,,,,,,,,1506.0,2336.0,3150.0,Latin America & Caribbean,Upper middle income,,Belize,
Bermuda,BMU,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,473.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,High income,,Bermuda,
Bolivia,BOL,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.0,,,,,,,,,,,11340.0,31303.0,49292.0,69026.0,73337.0,76804.0,77225.0,72984.0,62511.0,51077.0,43184.0,37699.0,31479.0,26027.0,31471.0,Latin America & Caribbean,Lower middle income,,Bolivia,
Brazil,BRA,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495994.0,297627.0,279379.0,337852.0,329821.0,358763.0,397177.0,321682.0,272499.0,359875.0,319994.0,,Latin America & Caribbean,Upper middle income,,Brazil,
Barbados,BRB,"Children out of school, primary, male",SE.PRM.UNER.MA,,2162.0,1419.0,1211.0,,,599.0,,,,,,,,,,,,,349.0,345.0,,1067.0,,,,,,,,49.0,,,,11.0,350.0,117.0,196.0,145.0,369.0,184.0,71.0,,,499.0,384.0,271.0,427.0,325.0,175.0,225.0,379.0,606.0,815.0,Latin America & Caribbean,High income,,Barbados,
Brunei Darussalam,BRN,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,1301.0,1001.0,2108.0,1892.0,2410.0,2706.0,2612.0,2498.0,,2326.0,,,,,2863.0,3494.0,4021.0,4539.0,4052.0,,,,,,,,,,,,,,,10689.0,9353.0,,,,,,,,1013.0,609.0,1302.0,932.0,832.0,East Asia & Pacific,High income,,Brunei Darussalam,
Bhutan,BTN,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,20036.0,19815.0,,,,,,,,,,,,,,,,,,,19710.0,19710.0,19466.0,19044.0,,,,16158.0,13613.0,,10224.0,7663.0,6546.0,6095.0,5258.0,5860.0,,6580.0,6670.0,6532.0,5539.0,,3993.0,3466.0,3402.0,,South Asia,Lower middle income,,Bhutan,
Botswana,BWA,"Children out of school, primary, male",SE.PRM.UNER.MA,32923.0,35431.0,36192.0,37532.0,36096.0,33113.0,31086.0,28728.0,28643.0,27922.0,25031.0,21113.0,,18405.0,18662.0,17179.0,16392.0,16423.0,17183.0,17061.0,19156.0,16656.0,17491.0,19001.0,20637.0,36065.0,36164.0,,33358.0,34591.0,33630.0,31417.0,30813.0,30299.0,26041.0,27130.0,24781.0,26537.0,27802.0,27704.0,,,25681.0,26828.0,27960.0,,,,,,,,22079.0,,Sub-Saharan Africa,Upper middle income,,Botswana,
Central African Republic,CAF,"Children out of school, primary, male",SE.PRM.UNER.MA,,71951.0,70083.0,69865.0,,,,90057.0,89857.0,,,75776.0,67916.0,57192.0,,,57090.0,81857.0,90257.0,94127.0,75517.0,94417.0,,,,,,,,,,,,,,182303.0,185286.0,157714.0,128289.0,129423.0,125412.0,142268.0,139453.0,,,,,25815.0,,,,,,,Sub-Saharan Africa,Low income,,Central African Republic,
Canada,CAN,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,50755.0,46092.0,46175.0,48783.0,51715.0,55011.0,57749.0,51852.0,68396.0,33314.0,31271.0,42169.0,39339.0,56093.0,51117.0,,27811.0,16606.0,8255.0,,,,,,,,,,,,8595.0,7677.0,5081.0,,10005.0,6863.0,4547.0,21030.0,22710.0,42394.0,47805.0,,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Canada,
Switzerland,CHE,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,72513.0,65444.0,,,55388.0,53924.0,53494.0,52211.0,50770.0,48986.0,47425.0,46034.0,44703.0,43809.0,43444.0,43015.0,45292.0,46926.0,27272.0,23967.0,,,,,,,,,,,,,,,2336.0,3413.0,,,99.0,242.0,342.0,427.0,378.0,452.0,802.0,808.0,,Europe & Central Asia,High income,,Switzerland,
Chile,CHL,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23315.0,21169.0,34893.0,24073.0,24888.0,23406.0,22990.0,19821.0,18009.0,16703.0,15476.0,12457.0,9833.0,13629.0,12692.0,4869.0,,Latin America & Caribbean,High income,,Chile,
China,CHN,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,901903.0,3036143.0,3739816.0,4595033.0,4961843.0,5260221.0,4913210.0,4735287.0,4335628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Upper middle income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",China,
Cote d'Ivoire,CIV,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,235049.0,,,,,,,,,,,,,,,,,,,468353.0,467136.0,,489205.0,528256.0,502278.0,509777.0,628656.0,,,,,,742423.0,,,,620416.0,524045.0,472388.0,298821.0,291738.0,198183.0,182255.0,144541.0,171637.0,144985.0,48033.0,Sub-Saharan Africa,Lower middle income,,Côte d'Ivoire,
Cameroon,CMR,"Children out of school, primary, male",SE.PRM.UNER.MA,,146014.0,163021.0,179011.0,204238.0,169564.0,169747.0,185313.0,180626.0,180828.0,185083.0,,,,,,,,180126.0,,202666.0,230679.0,,,,,,,,,,,,,,,,,,,,63452.0,,,,,7852.0,43418.0,277826.0,81583.0,,,,,Sub-Saharan Africa,Lower middle income,,Cameroon,
"Congo, Dem. Rep.",COD,"Children out of school, primary, male",SE.PRM.UNER.MA,,242878.0,299337.0,,,335798.0,,,,325742.0,,,,347845.0,350549.0,,,,787461.0,,,999705.0,1101911.0,1172862.0,1138559.0,769535.0,,,,2497024.0,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Congo, Dem. Rep.",
"Congo, Rep.",COG,"Children out of school, primary, male",SE.PRM.UNER.MA,,,20195.0,,14160.0,,14228.0,,10540.0,9757.0,22973.0,23893.0,22554.0,21746.0,18254.0,,,,,,,,,,,,,,,,,,,,,151941.0,123891.0,,,,40512.0,,53979.0,,,196986.0,,,91506.0,,,,,80839.0,Sub-Saharan Africa,Lower middle income,,"Congo, Rep.",
Colombia,COL,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,560132.0,,,,,643718.0,,,,,,,,69769.0,31627.0,86445.0,91899.0,,4587.0,,,,,,,,34710.0,,,75009.0,114789.0,90074.0,101669.0,111149.0,133436.0,148304.0,158138.0,,Latin America & Caribbean,Upper middle income,,Colombia,
Comoros,COM,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,8747.0,,,,,,,11981.0,,,,,17828.0,15185.0,,,,,,,13553.0,,,,,,3786.0,4246.0,,,4962.0,7333.0,,,16156.0,,12900.0,Sub-Saharan Africa,Lower middle income,,Comoros,
Cabo Verde,CPV,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,4481.0,5355.0,6513.0,5598.0,5146.0,5166.0,5230.0,4266.0,,3974.0,,,,3350.0,,,,707.0,,1375.0,1838.0,2030.0,2152.0,3095.0,2937.0,2929.0,3315.0,3317.0,3137.0,2902.0,2977.0,2658.0,2895.0,2970.0,3177.0,3409.0,3647.0,3549.0,3607.0,3884.0,3472.0,,,Sub-Saharan Africa,Lower middle income,,Cabo Verde,
Costa Rica,CRI,"Children out of school, primary, male",SE.PRM.UNER.MA,20498.0,,16939.0,14869.0,,16383.0,13170.0,,15386.0,18653.0,19807.0,20568.0,24430.0,,,27519.0,26545.0,26901.0,,28880.0,31089.0,32014.0,,,,,,,,,,,,,,,,,,,,,4282.0,8051.0,12447.0,13670.0,13386.0,16264.0,8795.0,6932.0,9246.0,10929.0,10882.0,,Latin America & Caribbean,Upper middle income,,Costa Rica,
Cuba,CUB,"Children out of school, primary, male",SE.PRM.UNER.MA,,,45763.0,24128.0,18598.0,,,,,27959.0,24039.0,32457.0,26402.0,13931.0,19786.0,25530.0,24804.0,18488.0,14464.0,17128.0,21991.0,22289.0,17858.0,20206.0,19459.0,22241.0,7184.0,,,,,,,75.0,,2247.0,6770.0,1625.0,6462.0,4721.0,5740.0,9174.0,8429.0,2081.0,9565.0,10336.0,10124.0,10853.0,10334.0,9738.0,8064.0,9014.0,18547.0,18894.0,Latin America & Caribbean,Upper middle income,,Cuba,
Curacao,CUW,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,Latin America & Caribbean,High income,,Curaçao,
Cayman Islands,CYM,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,52.0,171.0,81.0,13.0,95.0,,,34.0,,,,,,,,128.0,66.0,107.0,49.0,,Latin America & Caribbean,High income,,Cayman Islands,
Cyprus,CYP,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.0,759.0,430.0,359.0,382.0,320.0,91.0,137.0,,,,,361.0,563.0,739.0,426.0,538.0,434.0,100.0,,,,,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Cyprus,
Czechia,CZE,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390.0,2659.0,3564.0,1452.0,3259.0,4951.0,6351.0,7591.0,9139.0,6588.0,5877.0,4725.0,,,,Europe & Central Asia,High income,,Czechia,
Germany,DEU,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40532.0,39516.0,32783.0,29034.0,34670.0,28133.0,24402.0,25571.0,15862.0,10068.0,14479.0,14217.0,19107.0,14191.0,29575.0,20137.0,16978.0,18047.0,21627.0,26897.0,36131.0,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Germany,
Dominica,DMA,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,565.0,582.0,494.0,,1019.0,993.0,1417.0,841.0,,,,,,,,,,,,,,,,,,,,,,,,108.0,270.0,297.0,141.0,,,,,,81.0,111.0,,,455.0,372.0,408.0,393.0,419.0,Latin America & Caribbean,Upper middle income,,Dominica,
Denmark,DNK,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,1621.0,1700.0,2359.0,1960.0,2130.0,1224.0,746.0,,,,,2508.0,4844.0,3213.0,5381.0,5206.0,,4492.0,992.0,496.0,515.0,,,6631.0,4366.0,2560.0,1332.0,1536.0,1208.0,1437.0,1395.0,1132.0,1312.0,1958.0,1892.0,1714.0,1490.0,1019.0,1012.0,956.0,1173.0,1398.0,,Europe & Central Asia,High income,,Denmark,
Dominican Republic,DOM,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93569.0,79230.0,,22264.0,40987.0,92799.0,85475.0,95185.0,54003.0,75799.0,,11911.0,18869.0,26587.0,30424.0,41781.0,20572.0,25489.0,30988.0,34056.0,24771.0,26111.0,64961.0,47271.0,84262.0,Latin America & Caribbean,Upper middle income,,Dominican Republic,
Algeria,DZA,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,267044.0,187527.0,134163.0,149247.0,206672.0,209632.0,223841.0,212888.0,215027.0,224881.0,230820.0,195074.0,178599.0,153987.0,133158.0,119937.0,123652.0,146122.0,143389.0,150527.0,181971.0,195311.0,188661.0,197565.0,194256.0,,116059.0,95996.0,47103.0,17668.0,11957.0,7851.0,1584.0,7820.0,17886.0,9878.0,,,,,,,,,,,,,,,,Middle East & North Africa,Upper middle income,,Algeria,
Ecuador,ECU,"Children out of school, primary, male",SE.PRM.UNER.MA,,122975.0,,126652.0,125395.0,133653.0,134036.0,115360.0,103621.0,82429.0,93079.0,,,,,,,,,,,,,,100491.0,96017.0,86122.0,62357.0,57922.0,58507.0,62616.0,52959.0,40335.0,37637.0,,41195.0,28174.0,15858.0,36236.0,,,,29477.0,30182.0,,37387.0,39308.0,37471.0,,,,28915.0,,57831.0,Latin America & Caribbean,Upper middle income,,Ecuador,
"Egypt, Arab Rep.",EGY,"Children out of school, primary, male",SE.PRM.UNER.MA,,658793.0,661317.0,681245.0,,,,,731167.0,,,,,,,,,,,,,,,,437203.0,,,366848.0,,566674.0,548136.0,576600.0,594328.0,586026.0,557921.0,,,,,,,,533366.0,,551189.0,,387074.0,346211.0,291329.0,187859.0,101352.0,43811.0,,,Middle East & North Africa,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.

The national accounts data for Egypt has been updated to reflect local constant prices in the year 2022, moving from the previous reference of 2017.","Egypt, Arab Rep.",
