Indicator Name,Indicator Code,Year,Value
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,1960,31.2651682873382
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,1960,30.426442709851
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,1960,66.6
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,1960,25.9
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1960,9.5
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1960,88.011
"International migrant stock, total",SM.POP.TOTL,1960,10825599.0
Refugees under the mandate of the UNHCR by country or territory of asylum,SM.POP.RHCR.EA,1960,500000.0
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1960,5.5
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,1960,5.9
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,1960,56.4
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,1960,42.8
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,1960,63.4
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1960,8.99312458715278
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1960,0.0
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1960,1.45797598627791
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,1960,60.19296500009
Net foreign assets (current LCU),FM.AST.NFRG.CN,1960,17254799998.4452
Total reserves minus gold (current US$),FI.RES.XGLD.CD,1960,1554800000.0
Total fisheries production (metric tons),ER.FSH.PROD.MT,1960,2819044.0
Population in urban agglomerations of more than 1 million,EN.URB.MCTY,1960,69978587.0
Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS,1960,0.0282602319169323
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,1960,4.2654028436019
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,1960,2.98629159659583
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,1960,2.6703358304031
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,1960,3.45479647453723
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,1960,0.425306384175985
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,1960,16371000000.0
Urban population,SP.URB.TOTL,1960,126462473.0
Rural population,SP.RUR.TOTL,1960,54208527.0
"Population, male",SP.POP.TOTL.MA.IN,1960,88695832.0
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1960,14.7427696451078
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1960,1.56804239923797
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1960,2.70080482789407
"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1960,7146761.0
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1960,3.50570027970267
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,1960,4.74106166825831
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,1960,6.0087646906418
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,1960,7.01126435428325
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,1960,6.10909229392553
"Population ages 15-64, total",SP.POP.1564.TO,1960,108228090.0
"Population ages 15-64, female",SP.POP.1564.FE.IN,1960,55181339.0
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,1960,9.12050200631507
"Population ages 0-14, total",SP.POP.0014.TO,1960,56487092.0
"Population ages 0-14, female",SP.POP.0014.FE.IN,1960,27984772.0
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,1960,63.763318
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,69.7707317073171
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,1960,22.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1960,23.7
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,1960,5.4
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,1960,33.7
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,1960,101.328694267945
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1960,16.5905349446841
Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,1960,39.0214859468029
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1960,19664164000.0
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1960,38.7326062290019
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,1960,2714623.0
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,1960,11.1997817724156
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,1960,11.2
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,1960,10.8
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,1960,83.3
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,1960,37.7
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,1960,56.1
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,1960,35.5
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,9.19999980926514
"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,1960,26.2
Number of infant deaths,SH.DTH.IMRT,1960,112642.0
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,1960,1.0
GNI per capita (current LCU),NY.GNP.PCAP.CN,1960,3002.08929545597
GNI (current LCU),NY.GNP.MKTP.CN,1960,542390475099.326
GDP (current US$),NY.GDP.MKTP.CD,1960,541988586206.897
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,1960,71.7
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,1960,50.1
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,1960,38.2
GNI (current US$),NY.GNP.MKTP.CD,1960,542390475099.326
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1960,18991.5446025928
GDP (constant 2015 US$),NY.GDP.MKTP.KD,1960,3431221354895.04
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,1960,2.88946644243999
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1960,13.8867655302451
Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,1960,69.8669928145544
Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,1960,15283100000.0
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,1960,0.935674045187168
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,1960,28.8436246573012
Rural population (% of total population),SP.RUR.TOTL.ZS,1960,30.004
"Population, female",SP.POP.TOTL.FE.IN,1960,91975168.0
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1960,1.049
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,1960,1.8031002955406
"Population ages 65 and above, total",SP.POP.65UP.TO,1960,15955818.0
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1960,8809058.0
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,1960,4.11459601601652
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,1960,5.41260849180641
"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,1960,6.51998283052713
"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,1960,6.63116325793826
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,1960,6.15629390657239
"Population ages 15-64, male",SP.POP.1564.MA.IN,1960,53046751.0
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,1960,7.29108197780407
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,1960,10.143650366464
"Population ages 0-14, male",SP.POP.0014.MA.IN,1960,28502320.0
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,1960,11.162290337072
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1960,3.654
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,1960,29.3
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,1960,130.63
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,1960,-3230369875.08938
GDP per capita (current LCU),NY.GDP.PCAP.CN,1960,2999.86487154495
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,1960,15.7957919396161
Military expenditure (current LCU),MS.MIL.XPND.CN,1960,47346552670.2126
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,221000000.0
Mobile cellular subscriptions,IT.CEL.SETS,1960,0.0
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1960,19623000000.0
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1960,2.94042704989044
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,1960,27.2435407430057
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,1960,2.31628399997383
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,1960,4.20726161577167
Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,1960,1.86480491523317
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,1960,50.9075434916062
Age dependency ratio (% of working-age population),SP.POP.DPND,1960,66.9354046625049
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1960,1.46949068463275
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,1960,8.8314218831382
"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,1960,9.5776478023753
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,1960,3.87258671018698
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,1960,5.38447455646297
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,1960,6.49588368610677
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,1960,6.67189201910042
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,1960,6.14382125803199
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,1960,59.8074901972383
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,1960,7.51515960954544
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,1960,10.6769204250688
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,1960,32.1349039220736
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,1960,11.8085965098273
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,1960,78.217351
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,1960,73.1
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,1960,233.293
Number of under-five deaths,SH.DTH.MORT,1960,130148.0
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1960,1.0
GDP per capita (constant LCU),NY.GDP.PCAP.KN,1960,18991.5446025928
GDP per capita (current US$),NY.GDP.PCAP.CD,1960,2999.86487154495
GDP (constant LCU),NY.GDP.MKTP.KN,1960,3431221354895.04
GDP (current LCU),NY.GDP.MKTP.CN,1960,541988586206.897
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1960,71.0463222444596
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,1960,1.87416666666666
Aquaculture production (metric tons),ER.FSH.AQUA.MT,1960,104421.0
Population in largest city,EN.URB.LCTY,1960,14163521.0
"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS,1960,0.539666
Net migration,SM.POP.NETM,1960,422708.0
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,1960,11.5
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,1960,59.4
Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,1960,45.2581032412965
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,1960,78.9
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,1960,6164000000.0
Military expenditure (current USD),MS.MIL.XPND.CD,1960,47346552670.2126
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,1960,27.96378775
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,1960,23.8551149028523
Lending interest rate (%),FR.INR.LEND,1960,4.82083333333333
Consumer price index (2010 = 100),FP.CPI.TOTL,1960,13.5630607803977
Broad money (current LCU),FM.LBL.BMNY.CN,1960,326239000000.0
Net domestic credit (current LCU),FM.AST.DOMS.CN,1960,328965000000.0
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,1960,39.0214859468029
"Net ODA provided, total (constant 2021 US$)",DC.ODA.TOTL.KD,1960,19734572220.0
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,1960,144520000.0
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1960,1.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1960,30.1
Fixed telephone subscriptions,IT.MLT.MAIN,1960,49269000.0
"Net ODA provided, total (current US$)",DC.ODA.TOTL.CD,1960,2759800000.0
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1961,2.11679927938748
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,1961,1.01586348396137
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1961,20190000000.0
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1961,6.53396068703319
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,1961,16.0703211367865
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,1961,65.8202335050018
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,1961,6.4291525870124
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,70.377
Rural population growth (annual %),SP.RUR.TOTL.ZG,1961,0.379767922918795
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,1961,49.0511720603499
"Population, total",SP.POP.TOTL,1961,183691000.0
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1961,52.6371759957463
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,1961,1.13810099465474
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1961,2.31350932642041
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,1961,8.10952602210374
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1961,3.15692591164278
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,1961,4.60005255225856
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,1961,5.98137898564186
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,1961,6.76982341295615
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,1961,6.02052013536526
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,1961,59.6628899470724
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,1961,59.753716560081
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,1961,9.79789246210631
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,1961,31.4048603384548
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,1961,30.5219534467724
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,1961,67.1
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,1961,25.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1961,9.3
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1961,87.006
Refugees under the mandate of the UNHCR by country or territory of asylum,SM.POP.RHCR.EA,1961,500000.0
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1961,6.7
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,1961,7.2
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,1961,56.3
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,1961,43.4
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,1961,61.4
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1961,9.15603150017123
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1961,1.07072414764724
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,1961,62.8132549849293
Net foreign assets (current LCU),FM.AST.NFRG.CN,1961,16139899998.3101
Total reserves minus gold (current US$),FI.RES.XGLD.CD,1961,1805900000.0
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,1961,2818.0
Total fisheries production (metric tons),ER.FSH.PROD.MT,1961,2954551.0
Population in urban agglomerations of more than 1 million,EN.URB.MCTY,1961,71357652.0
Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS,1961,0.0389708664396519
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,1961,3.56302857428814
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,1961,3.93334334184056
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,1961,3.16769253865786
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,1961,3.71423949092674
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,1961,0.539272521368674
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,1961,15938000000.0
Urban population,SP.URB.TOTL,1961,129276215.0
Rural population,SP.RUR.TOTL,1961,54414785.0
"Population, male",SP.POP.TOTL.MA.IN,1961,90102588.0
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1961,14.9711987347931
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1961,1.63217724491173
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1961,2.71468136132824
"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1961,7306893.0
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1961,3.52720633873349
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,1961,4.71724396602235
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,1961,5.99033490042971
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,1961,6.87657914121588
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,1961,5.98056817038778
"Population ages 15-64, total",SP.POP.1564.TO,1961,109595359.0
"Population ages 15-64, female",SP.POP.1564.FE.IN,1961,55922554.0
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,1961,9.25120008809044
"Population ages 0-14, total",SP.POP.0014.TO,1961,57687902.0
"Population ages 0-14, female",SP.POP.0014.FE.IN,1961,28565012.0
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,1961,64.605857
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1961,70.2707317073171
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,1961,22.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1961,23.3
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,1961,6.4
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,1961,33.0
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,1961,106.71797125053
Real interest rate (%),FR.INR.RINR,1961,3.10788487484417
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1961,18.7496978836718
Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,1961,40.8214174667833
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,1961,2.43655724790721
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1961,18825530000.0
Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,1961,15340.9802331089
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1961,38.8465695107545
Population density (people per sq. km of land area),EN.POP.DNST,1961,20.0558797068663
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,1961,2852004.0
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,1961,11.1082986147142
Surface area (sq. km),AG.SRF.TOTL.K2,1961,9629090.0
Cereal production (metric tons),AG.PRD.CREL.MT,1961,163619978.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1961,715.0
Arable land (hectares per person),AG.LND.ARBL.HA.PC,1961,0.98333614602784
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1961,41.3342780822676
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,1961,13.0
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,1961,12.7
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,1961,82.9
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,1961,38.1
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,1961,55.4
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,1961,35.4
"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,1961,25.8
Number of infant deaths,SH.DTH.IMRT,1961,110897.0
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,1961,1.0
GNI per capita (current LCU),NY.GNP.PCAP.CN,1961,3062.97411600143
GNI (current LCU),NY.GNP.MKTP.CN,1961,562640778342.419
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1961,0.618121192654584
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,2.29999999999953
GDP (current US$),NY.GDP.MKTP.CD,1961,561940310344.828
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1961,1.35015389642182
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,1961,41.2
Land under cereal production (hectares),AG.LND.CREL.HA,1961,64869558.0
Agricultural land (% of land area),AG.LND.AGRI.ZS,1961,48.8602417741752
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,1961,70.8
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,1961,49.0
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,1961,37.9
GNI (current US$),NY.GNP.MKTP.CD,1961,562640778342.419
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1961,19108.9353645939
GDP (constant 2015 US$),NY.GDP.MKTP.KD,1961,3510139446057.61
Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,1961,51.08
Permanent cropland (% of land area),AG.LND.CROP.ZS,1961,0.205154296994419
Arable land (hectares),AG.LND.ARBL.HA,1961,180630000.0
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1961,92.0163994330786
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,1961,2.64725016263824
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1961,13.4464294650453
Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,1961,70.2497122554171
Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,1961,14834800000.0
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,1961,1.06506322970313
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,1961,27.6458058079651
